ID,버거킹 매장수,맥도날드 매장수,KFC 매장수,롯데리아 매장수,맘스터치 매장수,버거지수,y,x
밀양,0.0,1.0,0.0,3.0,3.0,0.16666666666666666,17.0,8.0
영주,1.0,0.0,0.0,4.0,2.0,0.16666666666666666,10.0,9.0
여수,1.0,2.0,0.0,12.0,7.0,0.15789473684210525,23.0,4.0
부산 사하,1.0,2.0,0.0,9.0,10.0,0.15789473684210525,19.0,10.0
충주,1.0,1.0,0.0,7.0,6.0,0.15384615384615385,12.0,6.0
강릉,1.0,1.0,0.0,6.0,8.0,0.14285714285714285,3.0,11.0
대전 동구,1.0,1.0,0.0,9.0,5.0,0.14285714285714285,14.0,5.0
보령,0.0,1.0,0.0,4.0,3.0,0.14285714285714285,13.0,2.0
홍성,1.0,0.0,0.0,3.0,4.0,0.14285714285714285,12.0,2.0
대구 달성,1.0,1.0,0.0,9.0,6.0,0.13333333333333333,16.0,9.0
제천,0.0,1.0,0.0,3.0,5.0,0.125,10.0,7.0
부산 동구,0.0,1.0,0.0,4.0,4.0,0.125,18.0,10.0
인천 미추홀,1.0,1.0,0.0,13.0,5.0,0.1111111111111111,9.0,2.0
시흥,1.0,2.0,0.0,17.0,14.0,0.0967741935483871,6.0,3.0
광주,1.0,0.0,0.0,7.0,5.0,0.08333333333333333,7.0,9.0
안성,0.0,1.0,0.0,8.0,4.0,0.08333333333333333,10.0,4.0
울산 북구,0.0,1.0,0.0,6.0,12.0,0.05555555555555555,13.0,12.0
울산 울주,0.0,1.0,0.0,8.0,10.0,0.05555555555555555,14.0,11.0
파주,1.0,0.0,0.0,14.0,11.0,0.04,2.0,3.0
아산,0.0,0.0,1.0,13.0,13.0,0.038461538461538464,11.0,1.0
하동,0.0,0.0,0.0,1.0,2.0,0.0,20.0,5.0
칠곡,0.0,0.0,0.0,2.0,3.0,0.0,12.0,9.0
부산 강서,0.0,0.0,0.0,5.0,5.0,0.0,18.0,8.0
고성(강원),0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0
구례,0.0,0.0,0.0,1.0,1.0,0.0,20.0,4.0
창녕,0.0,0.0,0.0,2.0,3.0,0.0,17.0,7.0
남해,0.0,0.0,0.0,1.0,3.0,0.0,22.0,6.0
의성,0.0,0.0,0.0,1.0,1.0,0.0,11.0,11.0
청도,0.0,0.0,0.0,1.0,1.0,0.0,13.0,10.0
영천,0.0,0.0,0.0,1.0,1.0,0.0,12.0,10.0
울진,0.0,0.0,0.0,1.0,3.0,0.0,6.0,11.0
울릉,0.0,0.0,0.0,1.0,0.0,0.0,8.0,13.0
예천,0.0,0.0,0.0,1.0,2.0,0.0,10.0,8.0
장흥,0.0,0.0,0.0,1.0,1.0,0.0,24.0,2.0
영덕,0.0,0.0,0.0,1.0,1.0,0.0,7.0,11.0
성주,0.0,0.0,0.0,1.0,1.0,0.0,13.0,11.0
봉화,0.0,0.0,0.0,1.0,0.0,0.0,8.0,11.0
문경,0.0,0.0,0.0,3.0,1.0,0.0,8.0,10.0
함평,0.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0
영광,0.0,0.0,0.0,1.0,1.0,0.0,19.0,1.0
장성,0.0,0.0,0.0,1.0,1.0,0.0,19.0,2.0
인천 옹진,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0
진도,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0
인천 동구,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0
군위,0.0,0.0,0.0,0.0,1.0,0.0,11.0,10.0
의령,0.0,0.0,0.0,0.0,1.0,0.0,18.0,7.0
산청,0.0,0.0,0.0,0.0,2.0,0.0,19.0,5.0
보성,0.0,0.0,0.0,1.0,2.0,0.0,24.0,3.0
고성(경남),0.0,0.0,0.0,1.0,1.0,0.0,22.0,7.0
거창,0.0,0.0,0.0,1.0,1.0,0.0,16.0,6.0
연천,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0
완도,0.0,0.0,0.0,1.0,1.0,0.0,25.0,2.0
강진,0.0,0.0,0.0,1.0,1.0,0.0,24.0,1.0
고흥,0.0,0.0,0.0,1.0,2.0,0.0,22.0,5.0
곡성,0.0,0.0,0.0,1.0,2.0,0.0,21.0,3.0
인천 강화,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0
여주,0.0,0.0,0.0,3.0,1.0,0.0,5.0,9.0
담양,0.0,0.0,0.0,1.0,1.0,0.0,20.0,2.0
